ID;Straßenname;Schlüssel;Stadtteil;Suchgitter;Beginn_der_Straße;Ende_der_Straße;Umbenannt_in;Erloschen_am;Historisches;Bemerkungen;Beschlussdatum;Gremium;Quelle;Vormals;Erloschen;Beschlussdatum_bis
27;Alois-Senefelder-Straße;1253;Neckarstadt;M,63;Jakob Bensheimer Straße;[Wendeplatte];;;"Taufbezirk nach Persönlichkeiten des Verlags und Buchdrucks. Die Straße verläuft in Nähe des Dudenverlags.
Alois Senefelder (1771- 1834). Erfinder des Steindruck. Alois Senefelder wollte eigentlich Schauspieler werden. Der Vater bestand jedoch auf einem Studium der Rechtswissenschaften. Als Jurist schrieb Senefelder das Stück ""Der Mädchenkenner"", das 1792 am kurfürstlichen Hoftheater in München aufgeführt wurde. Für seine Rollenauszüge sucht er nach einer billigen Reproduktionsmethode. 1796 gelang es ihm in München, ein Flachdruckverfahren zu entwickeln, das heute noch als Lithographie oder Steindruck bekannt ist. Senefelder richtete bald danach in Paris, Wien und London Steindruckanstalten ein.";;;;Straßennamenkartei FB 62;;Nein;
59;Am Grünen Hag;3571;Gartenstadt;H,63;Am Hain;Spielgäßchen;;;;Im Adressbuch von 1941/42 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
67;Am Meßplatz;365;Neckarstadt;M,61;Dammstraße;Mittelstraße;;;Erste Querstraße;Beschluß zum Ausbau durch Bürgerauschussbeschluss vom 12.12.1899.;;;Mayher / Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
71;Am Rheinauer See;8145;Rheinau;V,65/66;Rohrhoferstraße;Frobeniusstraße;;;;;01-01-30;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-30
80;Am Sonnengarten;1167;Neckarstadt;L,62;Herzogenriedstraße;[Wendeplatte];;;;;01-01-14;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-14
81;Am Sonnigen Hang;6601;Feudenheim;N/O,65/66;Unteres Kirchfeld;Hermann Löns Straße;;;;;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
103;Armbrustweg;4225;Neuhermsheim;P,64;Landsknechtweg;Hermsheimer Straße;;;Taufbezirk nach Begriffen aus dem Militärwesen.;Auf dem Stadtplan von 1941/42 nachweisbar.;;;Straßennamenkartei FB 62;;Nein;
110;Atzelbuckelstraße;5971;Wallstadt;M,67;Mosbacher Straße;Külsheimer Straße;;;"Gewann, ""Atzel"" ist vom Wort ""Elster"" abgeleitet.";Im Zuge der Eingemeindung am 1.7. 1929 in Atzelbuckelstraße umbenannt (genaues Beschlussdatum unbekannt).;;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) / Atlanten 1-18 FB 62;Schulgasse;Nein;
129;Ausgasse;2541;Sandhofen;F,59;Kriegerstraße;Groß Gerauer Straße;;;"Namensgebung nach dem ""Ausgang"" des ehemaligen Dorfes Sandhofen.
Volkstümlich, dort  wo das Dorf ""aus"" ist.";Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
137;Bäckerweg;5331;Käfertal;L,64;Mannheimer Straße;Wachenheimer Straße;;;Wegname;;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
